storm_id,source_page,source_row,reason
,118,34.0,NON_OBSERVATION_NARRATIVE_ROW
,118,38.0,NON_OBSERVATION_NARRATIVE_ROW
,35,5.0,NON_OBSERVATION_NARRATIVE_ROW
,35,7.0,NON_OBSERVATION_NARRATIVE_ROW
,74,10.0,NON_OBSERVATION_NARRATIVE_ROW
,74,14.0,NON_OBSERVATION_NARRATIVE_ROW
,135,13.0,NON_OBSERVATION_NARRATIVE_ROW
,149,9.0,NON_OBSERVATION_NARRATIVE_ROW
,46,5.0,NON_OBSERVATION_NARRATIVE_ROW
,46,17.0,NON_OBSERVATION_NARRATIVE_ROW
,49,3.0,NON_OBSERVATION_NARRATIVE_ROW
,49,11.0,NON_OBSERVATION_NARRATIVE_ROW
,69,35.0,NON_OBSERVATION_NARRATIVE_ROW
,96,14.0,NON_OBSERVATION_NARRATIVE_ROW
,96,18.0,NON_OBSERVATION_NARRATIVE_ROW
,113,26.0,NON_OBSERVATION_NARRATIVE_ROW
,113,30.0,NON_OBSERVATION_NARRATIVE_ROW
,125,12.0,NON_OBSERVATION_NARRATIVE_ROW
,40,11.0,NON_OBSERVATION_NARRATIVE_ROW
,53,27.0,NON_OBSERVATION_NARRATIVE_ROW
,70,20.0,NON_OBSERVATION_NARRATIVE_ROW
,135,15.0,NON_OBSERVATION_NARRATIVE_ROW
,47,5.0,NON_OBSERVATION_NARRATIVE_ROW
,47,11.0,NON_OBSERVATION_NARRATIVE_ROW
,55,8.0,NON_OBSERVATION_NARRATIVE_ROW
,55,16.0,NON_OBSERVATION_NARRATIVE_ROW
,62,20.0,NON_OBSERVATION_NARRATIVE_ROW
,81,26.0,NON_OBSERVATION_NARRATIVE_ROW
,106,6.0,NON_OBSERVATION_NARRATIVE_ROW
,111,25.0,NON_OBSERVATION_NARRATIVE_ROW
,124,17.0,NON_OBSERVATION_NARRATIVE_ROW
,192,9.0,NON_OBSERVATION_NARRATIVE_ROW
,192,13.0,NON_OBSERVATION_NARRATIVE_ROW
,58,15.0,NON_OBSERVATION_NARRATIVE_ROW
,65,6.0,NON_OBSERVATION_NARRATIVE_ROW
,71,19.0,NON_OBSERVATION_NARRATIVE_ROW
,79,6.0,NON_OBSERVATION_NARRATIVE_ROW
,79,24.0,NON_OBSERVATION_NARRATIVE_ROW
,110,10.0,NON_OBSERVATION_NARRATIVE_ROW
,110,11.0,NON_OBSERVATION_NARRATIVE_ROW
,174,10.0,NON_OBSERVATION_NARRATIVE_ROW
,54,19.0,NON_OBSERVATION_NARRATIVE_ROW
,54,24.0,NON_OBSERVATION_NARRATIVE_ROW
,76,3.0,NON_OBSERVATION_NARRATIVE_ROW
,76,9.0,NON_OBSERVATION_NARRATIVE_ROW
,84,5.0,NON_OBSERVATION_NARRATIVE_ROW
,84,8.0,NON_OBSERVATION_NARRATIVE_ROW
,99,9.0,NON_OBSERVATION_NARRATIVE_ROW
,108,5.0,NON_OBSERVATION_NARRATIVE_ROW
,125,12.0,NON_OBSERVATION_NARRATIVE_ROW
,217,18.0,NON_OBSERVATION_NARRATIVE_ROW
,42,10.0,NON_OBSERVATION_NARRATIVE_ROW
,70,29.0,NON_OBSERVATION_NARRATIVE_ROW
,70,39.0,NON_OBSERVATION_NARRATIVE_ROW
,90,3.0,NON_OBSERVATION_NARRATIVE_ROW
,90,7.0,NON_OBSERVATION_NARRATIVE_ROW
,97,3.0,NON_OBSERVATION_NARRATIVE_ROW
,97,4.0,NON_OBSERVATION_NARRATIVE_ROW
,97,5.0,NON_OBSERVATION_NARRATIVE_ROW
,104,4.0,NON_OBSERVATION_NARRATIVE_ROW
,104,13.0,NON_OBSERVATION_NARRATIVE_ROW
,112,3.0,NON_OBSERVATION_NARRATIVE_ROW
,112,6.0,NON_OBSERVATION_NARRATIVE_ROW
,122,11.0,NON_OBSERVATION_NARRATIVE_ROW
,142,9.0,NON_OBSERVATION_NARRATIVE_ROW
,142,19.0,NON_OBSERVATION_NARRATIVE_ROW
,162,27.0,NON_OBSERVATION_NARRATIVE_ROW
,162,33.0,NON_OBSERVATION_NARRATIVE_ROW
,191,21.0,NON_OBSERVATION_NARRATIVE_ROW
,192,14.0,NON_OBSERVATION_NARRATIVE_ROW
,254,7.0,NON_OBSERVATION_NARRATIVE_ROW
,254,10.0,NON_OBSERVATION_NARRATIVE_ROW
,254,13.0,NON_OBSERVATION_NARRATIVE_ROW
,42,17.0,NON_OBSERVATION_NARRATIVE_ROW
,42,24.0,NON_OBSERVATION_NARRATIVE_ROW
,60,29.0,NON_OBSERVATION_NARRATIVE_ROW
,61,8.0,NON_OBSERVATION_NARRATIVE_ROW
,97,39.0,NON_OBSERVATION_NARRATIVE_ROW
,124,8.0,NON_OBSERVATION_NARRATIVE_ROW
,124,19.0,NON_OBSERVATION_NARRATIVE_ROW
,143,2.0,NON_OBSERVATION_NARRATIVE_ROW
,143,9.0,NON_OBSERVATION_NARRATIVE_ROW
,158,9.0,NON_OBSERVATION_NARRATIVE_ROW
,170,22.0,NON_OBSERVATION_NARRATIVE_ROW
,235,33.0,NON_OBSERVATION_NARRATIVE_ROW
,260,17.0,NON_OBSERVATION_NARRATIVE_ROW
