filename,canonical_filename,is_canonical,is_redundant_duplicate,file_size_bytes,sha256,status,notes
3B-HHR.MS.MRG.3IMERG.20050114-S210000-E212959.1260.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050114-S210000-E212959.1260.V07B.HDF5,True,False,8289024,fb5a1f84f1b77d53ff5d0d847635cf80b0d55d2fec216e0d0fc54ed02f8339a0,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050115-S000000-E002959.0000.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050115-S000000-E002959.0000.V07B.HDF5,True,False,8265981,4cc71cb9ef392500330f962df9e86b80b783ac6218e2bc29abea4556e4a5e6b2,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050115-S030000-E032959.0180.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050115-S030000-E032959.0180.V07B.HDF5,True,False,8149027,cc4e630bd30b06ac5ceae9a89dd930fe608efe47121128ec164d0ad2be9ce18a,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050917-S150000-E152959.0900.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050917-S150000-E152959.0900.V07B.HDF5,True,False,7769706,272ae0589d5fc48b6281821e0792fdf4fb102bc532f4b2633412a824dcb5f4ba,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050917-S180000-E182959.1080.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050917-S180000-E182959.1080.V07B.HDF5,True,False,7877170,a4edb3b7dc8cfa518ce7e7d070dc4726ef92784321b025ee4ff8a45b4d34e3c8,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050917-S210000-E212959.1260.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050917-S210000-E212959.1260.V07B.HDF5,True,False,7766411,c57a3eb093e13009073aee07966c8c32124ace2482d4958396bce1daa79addee,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050918-S000000-E002959.0000.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050918-S000000-E002959.0000.V07B.HDF5,True,False,7638169,0a6197eaaceec671f1ffaa0bd5747f8d7f76f9658f9a5290dec592b2e763f8ed,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050918-S030000-E032959.0180.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050918-S030000-E032959.0180.V07B.HDF5,True,False,7633446,9e806ee87048e91c6d4e51b0f64b11fe6908e301b9acedc779f0e7e9852348e9,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050918-S060000-E062959.0360.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050918-S060000-E062959.0360.V07B.HDF5,True,False,7458797,1c88aeb360f2cd3a392ac0dc2ae9449e649bf5a3a81ca304e21e930c8ea73edb,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050918-S090000-E092959.0540.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050918-S090000-E092959.0540.V07B.HDF5,True,False,7381903,616bbe4b789a28b83979bbddc408f5818472c08d68cf172f6aba92578c35886d,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
