sample_id,storm_id,t0_utc,gridsat_spatial_mean,imerg_spatial_mean,gate_median,gate_p10,gate_p90,spatial_variance
NIO_2021_TAUKTAE_20210517_0600Z,NIO_2021_TAUKTAE,2021-05-17T06:00:00Z,0.4961841106414795,0.5038158893585205,0.49813419580459595,0.4299546182155609,0.566092848777771,0.007446447852998972
NIO_2021_UNNAMED_2_5_1_20210912_1200Z,NIO_2021_UNNAMED_2_5_1,2021-09-12T12:00:00Z,0.49737945199012756,0.5026205480098724,0.4980276823043823,0.42044955492019653,0.5779371857643127,0.006074544042348862
NIO_2021_UNNAMED_2_5_1_20210912_1800Z,NIO_2021_UNNAMED_2_5_1,2021-09-12T18:00:00Z,0.49754178524017334,0.5024582147598267,0.4980822801589966,0.42044955492019653,0.577975332736969,0.005646217614412308
NIO_2021_YAAS_20210523_0600Z,NIO_2021_YAAS,2021-05-23T06:00:00Z,0.496587336063385,0.503412663936615,0.49802374839782715,0.4338656961917877,0.5625473856925964,0.006865303963422775
NIO_2021_YAAS_20210523_1200Z,NIO_2021_YAAS,2021-05-23T12:00:00Z,0.4974812865257263,0.5025187134742737,0.49849310517311096,0.4295501708984375,0.5713026523590088,0.00803565513342619
NIO_2021_YAAS_20210523_1800Z,NIO_2021_YAAS,2021-05-23T18:00:00Z,0.49748584628105164,0.5025141537189484,0.49847114086151123,0.4290050268173218,0.5720970630645752,0.007943915203213692
NIO_2021_YAAS_20210524_0000Z,NIO_2021_YAAS,2021-05-24T00:00:00Z,0.4970443546772003,0.5029556453227997,0.4983397126197815,0.42512404918670654,0.5749239921569824,0.0083182817324996
NIO_2021_YAAS_20210524_0300Z,NIO_2021_YAAS,2021-05-24T03:00:00Z,0.4967503547668457,0.5032496452331543,0.4982442855834961,0.4288041591644287,0.569107174873352,0.007928452454507351
NIO_2021_YAAS_20210524_0600Z,NIO_2021_YAAS,2021-05-24T06:00:00Z,0.4965532124042511,0.5034467875957489,0.49831926822662354,0.4301880896091461,0.5662536025047302,0.007838181219995022
NIO_2021_YAAS_20210524_0900Z,NIO_2021_YAAS,2021-05-24T09:00:00Z,0.4966947138309479,0.5033052861690521,0.49840158224105835,0.4262833893299103,0.5715505480766296,0.00840818602591753
NIO_2021_YAAS_20210524_1200Z,NIO_2021_YAAS,2021-05-24T12:00:00Z,0.4969732463359833,0.5030267536640167,0.4986865818500519,0.42223837971687317,0.5771557092666626,0.008910436183214188
NIO_2021_YAAS_20210524_1500Z,NIO_2021_YAAS,2021-05-24T15:00:00Z,0.4971790313720703,0.5028209686279297,0.4986865818500519,0.4217420518398285,0.5786857008934021,0.008736486546695232
NIO_2021_YAAS_20210524_1800Z,NIO_2021_YAAS,2021-05-24T18:00:00Z,0.49702778458595276,0.5029722154140472,0.49856841564178467,0.41912057995796204,0.5804734826087952,0.008834966458380222
NIO_2021_YAAS_20210525_0000Z,NIO_2021_YAAS,2021-05-25T00:00:00Z,0.4961334466934204,0.5038665533065796,0.4981822967529297,0.40970802307128906,0.5849230885505676,0.009401959367096424
NIO_2021_YAAS_20210525_0300Z,NIO_2021_YAAS,2021-05-25T03:00:00Z,0.4958175718784332,0.5041824281215668,0.49801769852638245,0.4156855344772339,0.579241931438446,0.008974033407866955
NIO_2021_YAAS_20210525_0600Z,NIO_2021_YAAS,2021-05-25T06:00:00Z,0.495644211769104,0.504355788230896,0.49791979789733887,0.4174386262893677,0.5773229598999023,0.008745103143155575
NIO_2021_YAAS_20210525_1200Z,NIO_2021_YAAS,2021-05-25T12:00:00Z,0.4964805841445923,0.5035194158554077,0.498382031917572,0.41113054752349854,0.5851113796234131,0.008511661551892757
